date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:04	163/163	U-----	200	untouched ('OK')	text/plain	etag:W/%2211b-18ed1c4bf60%22	https://www.overleaf.com/robots.txt		(from )
18:54:04	46648/46648	U--MCZ	200	updated ('OK')	text/html	etag:W/%22b638-eVfhZRuyQcdUvoHvBfLyWKyib8o%22	https://www.overleaf.com/learn	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn.html	(from )
18:54:04	6147/6147	U-----	200	untouched ('')	image/png	etag:W/%22f19772b1fb1ce8c5b22e544de8180fea%22	https://cdn.overleaf.com/img/ol-brand/overleaf_og_logo.png	C:/Users/aayus/Downloads/httt/overleaf/cdn.overleaf.com/img/ol-brand/overleaf_og_logo.png	(from https://www.overleaf.com/learn)
18:54:04	119534/119534	U-----	200	untouched ('')	application/javascript	etag:W/%22d24a870c3c44560f7fa234e09c57e750%22	https://cdn.overleaf.com/js/en-json-5ee3d7a6fdd6e71a9730.js	C:/Users/aayus/Downloads/httt/overleaf/cdn.overleaf.com/js/en-json-5ee3d7a6fdd6e71a9730.js	(from https://www.overleaf.com/learn)
18:54:04	581749/581749	U-----	200	untouched ('OK')	text/css	etag:W/%22b35c2de897a4b7f50b238c6159939fad%22	https://cdn.overleaf.com/stylesheets/main-style-82a67b507675f5a9518e.css	C:/Users/aayus/Downloads/httt/overleaf/cdn.overleaf.com/stylesheets/main-style-82a67b507675f5a9518e.css	(from https://www.overleaf.com/learn)
18:54:05	52916/52916	U-----	200	untouched ('')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/aayus/Downloads/httt/overleaf/www.google-analytics.com/analytics.js	(from https://www.overleaf.com/learn)
18:54:05	132/132	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Apr%202024%2013:24:05%20GMT	https://www.overleaf.com/learn/latex/Creating_a_document_in_LaTeX	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Creating_a_document_in_LaTeX.5.delayed	(from https://www.overleaf.com/learn)
18:54:05	0/-1	---M--	301	error ('')			https://www.overleaf.com/learn/latex/Creating_a_document_in_LaTeX	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Creating_a_document_in_LaTeX.1c.delayed	(from https://www.overleaf.com/learn)
18:54:05	70028/70028	U--MCZ	200	updated ('OK')	text/html	etag:W/%221118c-xmuZrH0b5z5U2L/QqzDjAyGrySU%22	https://www.overleaf.com/learn/latex/Paragraphs_and_new_lines	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Paragraphs_and_new_lines.html	(from https://www.overleaf.com/learn)
18:54:06	57085/57085	U--MCZ	200	updated ('OK')	text/html	etag:W/%22defd-LtolWXAjGE0XcCfiCBINThtgzHo%22	https://www.overleaf.com/learn/latex/Bold%2C_italics_and_underlining	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Bold,_italics_and_underlining.html	(from https://www.overleaf.com/learn)
18:54:06	66762/66762	---MCZ	200	added ('OK')	text/html	etag:W/%22104ca-IHUdhBdi+6vFlNJnKVsdoP+IQi0%22	https://www.overleaf.com/learn/latex/Hyperlinks	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Hyperlinks.html	(from https://www.overleaf.com/learn)
18:54:06	167883/167883	U--MCZ	200	updated ('OK')	text/html	etag:W/%2228fcb-8YjKPQlhOcf6sPQD69sCsO/6X3o%22	https://www.overleaf.com/learn/latex/Learn_LaTeX_in_30_minutes	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Learn_LaTeX_in_30_minutes.html	(from https://www.overleaf.com/learn)
18:54:24	65057/65057	U--MCZ	200	updated ('OK')	text/html	etag:W/%22fe21-fFMfORXUMbeW1oz7QtFlmVhtsQA%22	https://www.overleaf.com/learn/latex/Mathematical_expressions	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Mathematical_expressions.html	(from https://www.overleaf.com/learn)
18:54:24	68979/68979	U--MCZ	200	updated ('OK')	text/html	etag:W/%2210d73-Dx5tKxy1U+MZ9RUzEvZIYx/lNLs%22	https://www.overleaf.com/learn/latex/Bibliography_management_in_LaTeX	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Bibliography_management_in_LaTeX.html	(from https://www.overleaf.com/learn)
18:54:24	131262/131262	U--MCZ	200	updated ('OK')	text/html	etag:W/%22200be-I8Jh0NA+fIaMV70M9LeUpNq2G2c%22	https://www.overleaf.com/learn/latex/Lists	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Lists.html	(from https://www.overleaf.com/learn)
18:54:24	52291/52291	---MCZ	200	added ('OK')	text/html	etag:W/%22cc43-tnMgRvE69Na3aDmMtpBVDZ7nQO4%22	https://www.overleaf.com/learn/latex/Lengths_in_LaTeX	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Lengths_in_LaTeX.html	(from https://www.overleaf.com/learn)
18:54:24	89302/89302	U--MCZ	200	updated ('OK')	text/html	etag:W/%2215cd6-bocpWaxPHnoQGnE+UxGFqPxwpF4%22	https://www.overleaf.com/learn/latex/Inserting_Images	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Inserting_Images.html	(from https://www.overleaf.com/learn)
18:54:35	137432/137432	---MCZ	200	added ('OK')	text/html	etag:W/%22218d8-rIe7ijB7QvzZqqRTpD//ItlMKiw%22	https://www.overleaf.com/learn/latex/Headers_and_footers	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Headers_and_footers.html	(from https://www.overleaf.com/learn)
18:54:35	77171/77171	U--MCZ	200	updated ('OK')	text/html	etag:W/%2212d73-Gzibw4k7GlKCNmpylNJqOgCyb7E%22	https://www.overleaf.com/learn/latex/Arabic	C:/Users/aayus/Downloads/httt/overleaf/www.overleaf.com/learn/latex/Arabic.html	(from https://www.overleaf.com/learn)
